problema,tempo_paralelo,core
1440,9,4
1440,7,4
1440,8,4
1440,8,4
1440,7,4
1440,7,4
1440,8,4
1440,9,4
1440,8,4
1440,9,4
1600,11,4
1600,9,4
1600,8,4
1600,9,4
1600,9,4
1600,9,4
1600,9,4
1600,9,4
1600,9,4
1600,9,4
1800,15,4
1800,15,4
1800,12,4
1800,14,4
1800,12,4
1800,15,4
1800,13,4
1800,14,4
1800,12,4
1800,15,4
2080,20,4
2080,24,4
2080,22,4
2080,25,4
2080,25,4
2080,26,4
2080,23,4
2080,24,4
2080,24,4
2080,24,4
1440,4,8
1440,5,8
1440,4,8
1440,4,8
1440,4,8
1440,4,8
1440,4,8
1440,4,8
1440,4,8
1440,5,8
1600,6,8
1600,4,8
1600,6,8
1600,6,8
1600,6,8
1600,3,8
1600,6,8
1600,6,8
1600,6,8
1600,6,8
1800,7,8
1800,9,8
1800,10,8
1800,9,8
1800,8,8
1800,8,8
1800,8,8
1800,8,8
1800,9,8
1800,9,8
2080,14,8
2080,12,8
2080,14,8
2080,13,8
2080,15,8
2080,16,8
2080,14,8
2080,14,8
2080,13,8
2080,14,8
1440,2,16
1440,2,16
1440,3,16
1440,2,16
1440,3,16
1440,1,16
1440,2,16
1440,3,16
1440,2,16
1440,2,16
1600,3,16
1600,2,16
1600,3,16
1600,3,16
1600,3,16
1600,2,16
1600,3,16
1600,4,16
1600,3,16
1600,1,16
1800,5,16
1800,5,16
1800,4,16
1800,5,16
1800,5,16
1800,4,16
1800,4,16
1800,4,16
1800,5,16
1800,4,16
2080,7,16
2080,8,16
2080,8,16
2080,8,16
2080,8,16
2080,8,16
2080,9,16
2080,8,16
2080,8,16
2080,8,16
1440,3,32
1440,2,32
1440,2,32
1440,2,32
1440,3,32
1440,3,32
1440,2,32
1440,2,32
1440,3,32
1440,2,32
1600,3,32
1600,4,32
1600,4,32
1600,3,32
1600,4,32
1600,4,32
1600,4,32
1600,4,32
1600,3,32
1600,3,32
1800,5,32
1800,4,32
1800,5,32
1800,4,32
1800,5,32
1800,5,32
1800,4,32
1800,4,32
1800,5,32
1800,4,32
2080,7,32
2080,7,32
2080,8,32
2080,8,32
2080,8,32
2080,8,32
2080,8,32
2080,8,32
2080,8,32
2080,8,32
